#,Name,Start,End,Length
M1,60,0:00.000,,
M2,69,0:27.000,,
M3,80,0:50.478,,
M4,92,1:10.728,,
M5,104,1:28.336,,
M6,116,1:43.913,,
M7,132,1:57.879,,
R1,1-5,0:00.000,0:15.000,0:15.000
R2,2-1,0:15.000,0:27.000,0:12.000
R3,1-5,0:27.000,0:40.043,0:13.043
R4,2-1,0:40.043,0:50.478,0:10.434
R5,1-5,0:50.478,1:01.728,0:11.250
R6,2-1,1:01.728,1:10.728,0:09.000
R7,1-5,1:10.728,1:20.510,0:09.782
R8,2-1,1:20.510,1:28.336,0:07.826
R9,1-5,1:28.336,1:36.990,0:08.653
R10,2-1,1:36.990,1:43.913,0:06.923
R11,1-5,1:43.913,1:51.672,0:07.758
R12,2-1,1:51.672,1:57.879,0:06.206
R13,1-5,1:57.879,2:04.697,0:06.818
R14,2-1,2:04.697,2:10.606,0:05.909
