#,Name,Start,End,Length
M1,66,0:00.000,,
M2,72,0:36.363,,
M3,80,1:09.696,,
M4,88,1:39.696,,
M5,96,2:06.969,,
M6,104,2:31.969,,
R1,1-3,0:00.000,0:10.909,0:10.909
R2,1-4,0:10.909,0:21.818,0:10.909
R3,1-5,0:21.818,0:36.363,0:14.545
R4,1-3,0:36.363,0:46.363,0:10.000
R5,1-4,0:46.363,0:56.363,0:10.000
R6,1-5,0:56.363,1:09.696,0:13.333
R7,1-3,1:09.696,1:18.696,0:09.000
R8,1-4,1:18.696,1:27.696,0:09.000
R9,1-5,1:27.696,1:39.696,0:12.000
R10,1-3,1:39.696,1:47.878,0:08.181
R11,1-4,1:47.878,1:56.060,0:08.181
R12,1-5,1:56.060,2:06.969,0:10.909
R13,1-3,2:06.969,2:14.469,0:07.500
R14,1-4,2:14.469,2:21.969,0:07.500
R15,1-5,2:21.969,2:31.969,0:10.000
R16,1-3,2:31.969,2:38.892,0:06.923
R17,1-4,2:38.892,2:45.815,0:06.923
R18,1-5,2:45.815,2:55.046,0:09.230
