#,Name,Start,End,Length
M1,40,0:00.000,,
M2,44,0:30.000,,
M3,48,0:57.272,,
M4,52,1:22.272,,
M5,56,1:45.349,,
M6,60,2:06.778,,
M7,66,2:26.778,,
M8,72,2:44.960,,
R1,2-2,0:00.000,0:24.000,0:24.000
R2,2-3,0:24.000,0:30.000,0:06.000
R3,2-2,0:30.000,0:51.818,0:21.818
R4,2-3,0:51.818,0:57.272,0:05.454
R5,2-2,0:57.272,1:17.272,0:20.000
R6,2-3,1:17.272,1:22.272,0:05.000
R7,2-2,1:22.272,1:40.734,0:18.461
R8,2-3,1:40.734,1:45.349,0:04.615
R9,2-2,1:45.349,2:02.492,0:17.142
R10,2-3,2:02.492,2:06.778,0:04.285
R11,2-2,2:06.778,2:22.778,0:16.000
R12,2-3,2:22.778,2:26.778,0:04.000
R13,2-2,2:26.778,2:41.323,0:14.545
R14,2-3,2:41.323,2:44.960,0:03.636
R15,2-2,2:44.960,2:58.293,0:13.333
R16,2-3,2:58.293,3:01.626,0:03.333
